0.0 0.2929632769781626
1 deep 0.03581136658991129
1 learning 0.00643595409695499
1 allows 0.022939458396001304
1 computational 0.011937122196637095
1 model 0.010166141630651302
1 that 0.01100233619936421
1 are 0.007817087065044352
1 composed 0.022939458396001304
1 of 0.0
1 multiple 0.0348765805926384
1 processing 0.020332283261302604
1 layer 0.06881837518800392
1 to 0.007748152391300665
1 learn 0.0174382902963192
1 representation 0.04266093974352512
1 data 0.026157435444478804
1 with 0.0019945589546103665
1 level 0.022939458396001304
1 abstraction 0.022939458396001304
1 these 0.00643595409695499
1 method 0.0087191451481596
1 have 0.026157435444478804
1 dramatically 0.0174382902963192
1 improved 0.022939458396001304
1 the 0.005608715983637307
1 state 0.014220313247841706
1 art 0.0174382902963192
1 in 0.0022681910253947867
1 speech 0.05231487088895761
1 recognition 0.02844062649568341
1 visual 0.022939458396001304
1 object 0.02387424439327419
1 detection 0.0174382902963192
1 and 0.0
1 many 0.010166141630651302
1 other 0.007495727054292472
1 domain 0.0174382902963192
1 such 0.0174382902963192
1 a 0.005983676863831099
1 drug 0.022939458396001304
1 discovery 0.022939458396001304
1 genomics 0.022939458396001304
1 discovers 0.022939458396001304
1 intricate 0.022939458396001304
1 structure 0.014220313247841706
1 large 0.014220313247841706
1 set 0.011937122196637095
1 by 0.00643595409695499
1 using 0.010166141630651302
1 backpropagation 0.0174382902963192
1 algorithm 0.00643595409695499
1 indicate 0.0174382902963192
1 how 0.0087191451481596
1 machine 0.00643595409695499
1 should 0.022939458396001304
1 change 0.022939458396001304
1 it 0.00643595409695499
1 internal 0.022939458396001304
1 parameter 0.014220313247841706
1 used 0.011937122196637095
1 compute 0.022939458396001304
1 each 0.0174382902963192
1 from 0.007495727054292472
1 previous 0.0174382902963192
1 convolutional 0.014220313247841706
1 net 0.04587891679200261
1 brought 0.022939458396001304
1 about 0.014220313247841706
1 breakthrough 0.022939458396001304
1 image 0.0174382902963192
1 video 0.022939458396001304
1 audio 0.022939458396001304
1 whereas 0.022939458396001304
1 recurrent 0.0174382902963192
1 shone 0.022939458396001304
1 light 0.022939458396001304
1 on 0.003908543532522176
1 sequential 0.022939458396001304
1 text 0.022939458396001304
1 2015 0.014220313247841706
1 macmillan 0.0174382902963192
1 publisher 0.0174382902963192
1 limited 0.0174382902963192
1 All 0.0174382902963192
1 rights 0.0174382902963192
1 reserved. 0.0174382902963192
2 in 0.0012701869742210805
2 recent 0.01990843854697839
2 year 0.01990843854697839
2 deep 0.06684788430116774
2 artificial 0.014232598282911825
2 neural 0.012206803207423442
2 network 0.02098803575201892
2 including 0.01990843854697839
2 recurrent 0.024413606414846883
2 one 0.01990843854697839
2 have 0.012206803207423442
2 won 0.03211524175440183
2 numerous 0.03211524175440183
2 contest 0.03211524175440183
2 pattern 0.03211524175440183
2 recognition 0.01990843854697839
2 and 0.0
2 machine 0.009010335735736986
2 learning 0.018020671471473973
2 this 0.007701635339554948
2 historical 0.03211524175440183
2 survey 0.01990843854697839
2 compactly 0.03211524175440183
2 summarizes 0.024413606414846883
2 relevant 0.024413606414846883
2 work 0.024413606414846883
2 much 0.024413606414846883
2 of 0.0
2 it 0.009010335735736986
2 from 0.01049401787600946
2 the 0.003926101188546115
2 previous 0.024413606414846883
2 millennium 0.03211524175440183
2 shallow 0.03211524175440183
2 learner 0.03211524175440183
2 are 0.010943921891062094
2 distinguished 0.03211524175440183
2 by 0.009010335735736986
2 depth 0.03211524175440183
2 their 0.014232598282911825
2 credit 0.03211524175440183
2 assignment 0.03211524175440183
2 path 0.03211524175440183
2 which 0.014232598282911825
2 chain 0.03211524175440183
2 possibly 0.03211524175440183
2 learnable 0.024413606414846883
2 causal 0.03211524175440183
2 link 0.03211524175440183
2 between 0.024413606414846883
2 action 0.024413606414846883
2 effect 0.03211524175440183
2 i 0.03211524175440183
2 review 0.016711971075291935
2 supervised 0.03211524175440183
2 also 0.01990843854697839
2 recapitulating 0.03211524175440183
2 history 0.03211524175440183
2 backpropagation 0.024413606414846883
2 unsupervised 0.03211524175440183
2 reinforcement 0.03211524175440183
2  0.016711971075291935
2 evolutionary 0.01990843854697839
2 computation 0.012206803207423442
2 indirect 0.03211524175440183
2 search 0.03211524175440183
2 for 0.003615804449273644
2 short 0.03211524175440183
